Syed,Syed@Company.com,Yes
Kim,Kim@Company.com,
Sam,Sam@Company.com,
Hazem,Hazem@Company.com,
Pilar,Pilar@Company.com,
Terry,Terry@Company.com,
Amy,Amy@Company.com,Yes
Greg,Greg@Company.com,
Pamela,Pamela@Company.com,
Julie,Julie@Company.com,Yes
David,David@Company.com,
Robert,Robert@Company.com,
Shai,Shai@Company.com,
Ann,Ann@Company.com,
Mason,Mason@Company.com,
Sharon,Sharon@Company.com,
John,John@Company.com,
Bill,Bill@Company.com,
Pat,Pat@Company.com,
Chad,Chad@Company.com,
Rudy,Rudy@Company.com,
Peter,Peter@Company.com,
Michael,Michael@Company.com,
Seamus,Seamus@Company.com,
Libby,Libby@Company.com,
Jessica,Jessica@Company.com,
Ann,Ann@Company.com,
Christine,Christine@Company.com,
Lorrain,Lorrain@Company.com,
